commentId,text,date
974880323,159的时候跑了，每次打开程序一看没有泸州我心里就跟失恋了一样，再次接回。一定不,10-30 11:03
974874762,等着下午拉升,10-30 10:57
974869614,今天还能红吗？我补了仓[撇嘴],10-30 10:50
974869756,今天能涨嘛,10-30 10:49
974867884,老窖，啥意思，一日游吗,10-30 10:48
974867890,老窖，啥意思，一日游吗,10-30 10:47
974867341,昨天一硬今天就射了,10-30 10:46
974867155,昨天不是挺猛的,10-30 10:45
974951961,东北证券：泸州老窖买入评级,10-30 10:42
974864207,我猜是浙江的狗崽子砸的盘,10-30 10:41
974863236,逢低介入，机会难得啊,10-30 10:41
974862586,这种无偿划拨太无耻了。完美无视5个点以上减持需要公告的要求，划5个点以下给被人卖,10-30 10:40
974860095,感谢主力的回调,10-30 10:37
974859531,道理很简单,10-30 10:36
974859246,我说一下吧，泸州老窖特曲，我常喝的，经常固定在同一个超市买，几年前是250元左右,10-30 10:36
974857381,希望你今天跌停,10-30 10:34
974857666,各位，今天该如何操作，迷茫了,10-30 10:33
974855876,泸州老窖老总都跑到金徽酒去了,10-30 10:32
974855899,今天变垃圾了。,10-30 10:31
974854664,疯狂的白酒,10-30 10:31
974852925,感觉现在洋河跟老窖从商业竞争变成股性竞争,10-30 10:28
974845685,往死里跌卖勾子,10-30 10:19
974842653,获利的走了而已，走完再拉的,10-30 10:16
974841587,太高的估值，容易崩掉！伊利三季度特好，但是崩了！,10-30 10:15
974839869,金徽才是龙头,10-30 10:14
974839304,泸州的阶位要提升了，看来1573要和五粮媲美了,10-30 10:13
974835995,后市乏力，直接哑火！,10-30 10:09
974816510,拉起，出货，再拉起，再出货，循环往复！,10-30 09:48
974815555,来吧，洗一波，把不坚定的洗出去继续冲,10-30 09:47
974813851,科技行业环境变化快，10年后谁上谁下很难预测，但要预测10年后的白酒格局，答案大,10-30 09:46
974814101,洗洗更健康,10-30 09:45
974813491,业绩这么牛为什么不长,10-30 09:44
974813104,古井这个垃圾还有210多，简直是国窖的悲哀。,10-30 09:44
974812279,下午挺起，就是这么硬,10-30 09:44
974812491,全部子弹用完了[俏皮][俏皮],10-30 09:43
974811271,砸盘就有大资金接，别砸了，下午拉升,10-30 09:43
974810807,图穷匕首见,10-30 09:43
974810416,见光死fw,10-30 09:42
974810441,各位今天该如何操作，我有点懵逼,10-30 09:42
974809911,高价买入的今天被套了哎愁死个人,10-30 09:42
974809314,洗的漂亮,10-30 09:41
974809959,估计今天要跌停,10-30 09:41
974808908,跌停就满仓,10-30 09:40
974807288,哦豁，173.55买,10-30 09:39
974806798,只希望今天少跌点吧,10-30 09:38
974806199,差劲哦,10-30 09:37
974805986,下来吧小绵羊,10-30 09:37
974806359,带崩了金徽酒,10-30 09:37
974805273,想跌停？,10-30 09:36
974804651,大爷的,10-30 09:36
974804982,？？？,10-30 09:35
974803885,柚子进来真不是好事,10-30 09:35
974803093,山西汾酒三季报也超预期，但是不能力挽狂澜啊，还得看我老窖。,10-30 09:34
974801677,涨停一次就开始拉稀,10-30 09:32
974801485,国窖表现强劲，Q3业绩再超预期,10-30 09:31
974800931,跌停的节奏？,10-30 09:30
974798989,汾酒凭啥[微笑],10-30 09:27
974798458,汾酒与国窖的股价巨差是违法的,10-30 09:26
974798517,一日游吗？,10-30 09:25
974797559,只要出研报，最起码跌五个点,10-30 09:24
974797604,卧槽，又倒数,10-30 09:24
974797155,跌这么多？,10-30 09:22
974793048,逛各家酒卖场，泸州老窖货铺的最多，飞天茅台比较少，剑南春铺货也很多，剑南春性价比,10-30 09:13
974790216,泸州老窖(000568)融资融券信息(10-29),10-30 09:00
974789907,快跑。机构在出货，高开低走,10-30 09:00
